iter	RMSE
0	0.6408692455
1	0.6159619488
2	0.5925765878
3	0.5702347997
4	0.549547853
5	0.529467562
6	0.5104253482
7	0.4924680995
8	0.4755825438
9	0.4590552102
10	0.4445429111
11	0.4304908817
12	0.416674926
13	0.4036501658
14	0.3913696905
15	0.3801079047
16	0.3691621875
17	0.3588795159
18	0.3493919588
19	0.3402785138
20	0.3323647219
21	0.3241783262
22	0.3169486909
23	0.3095655525
24	0.3026000952
25	0.2965177519
26	0.290440024
27	0.2847965864
28	0.2797424627
29	0.2751417438
30	0.2705547769
31	0.2663835967
32	0.2623127489
33	0.2585282333
34	0.25487596
35	0.2515580961
36	0.2484515362
37	0.2453570468
38	0.2425328613
39	0.239786908
40	0.2374805117
41	0.2350592108
42	0.2327670411
43	0.2306950728
44	0.2286642872
45	0.2268850312
46	0.2252792455
47	0.2238001095
48	0.2223165387
49	0.2209420363
50	0.2195350003
51	0.2182795416
52	0.2169388709
53	0.215772277
54	0.2147413601
55	0.2137288219
56	0.2126940658
57	0.2118782947
58	0.2110124827
59	0.2101677689
60	0.2093224954
61	0.2085731708
62	0.2078358355
63	0.2070571647
64	0.2064241384
65	0.2056079284
66	0.2049454371
67	0.2043977456
68	0.2037761566
69	0.2032271505
70	0.2027210532
71	0.2022905152
72	0.2016986217
73	0.2012033763
74	0.2007506201
75	0.2003156312
76	0.1997949069
77	0.1993639423
78	0.1989693609
79	0.1985811051
80	0.1982660179
81	0.1978886951
82	0.1975704774
83	0.1971901019
84	0.1968611104
85	0.1965116901
86	0.196139236
87	0.1957967764
88	0.1955253974
89	0.1952725687
90	0.1950134259
91	0.1947498282
92	0.194434245
93	0.1941284227
94	0.1937731101
95	0.1934876714
96	0.1933097627
97	0.1930573372
98	0.192825865
99	0.1926052805
100	0.1923753587
101	0.1921360256
102	0.1918702913
103	0.191634674
104	0.1914075366
105	0.1911023935
106	0.1909242065
107	0.1906926816
108	0.1904417693
109	0.1901797176
110	0.1897694529
111	0.1895521901
112	0.1893865352
113	0.189208983
114	0.1888453675
115	0.18865578
116	0.188498773
117	0.1882603057
118	0.188103075
119	0.1879082158
120	0.1877605491
121	0.1875192343
122	0.1873351258
123	0.1870935452
124	0.1868361127
125	0.1865787359
126	0.1863811554
127	0.1861531802
128	0.1859992352
129	0.1858667782
130	0.1856441709
131	0.1853951973
132	0.1850988243
133	0.1849566568
134	0.1847384763
135	0.1845257762
136	0.1843637842
137	0.1842189865
138	0.1839229258
139	0.1838144156
