iter	Passed	Remaining
0	149	149431
1	182	91028
2	215	71539
3	248	61827
4	285	56840
5	325	53844
6	364	51658
7	400	49602
8	430	47372
9	475	47087
10	530	47683
11	587	48403
12	661	50232
13	697	49132
14	732	48069
15	775	47679
16	816	47230
17	853	46578
18	890	45986
19	922	45193
20	955	44542
21	991	44062
22	1025	43543
23	1063	43251
24	1106	43150
25	1145	42899
26	1177	42431
27	1211	42068
28	1250	41856
29	1292	41800
30	1333	41687
31	1379	41717
32	1407	41239
33	1437	40833
34	1470	40531
35	1504	40284
36	1539	40056
37	1578	39966
38	1619	39898
39	1660	39842
40	1706	39916
41	1743	39758
42	1778	39574
43	1815	39447
44	1856	39397
45	1891	39224
46	1926	39062
47	1965	38983
48	2002	38871
49	2036	38687
50	2069	38513
51	2099	38281
52	2134	38142
53	2166	37957
54	2196	37742
55	2223	37488
56	2250	37225
57	2280	37031
58	2320	37006
59	2360	36977
60	2400	36947
61	2444	36988
62	2487	37000
63	2553	37348
64	2599	37391
65	2663	37691
66	2721	37897
67	2760	37840
68	2805	37860
69	2872	38169
70	2914	38128
71	2959	38149
72	2993	38015
73	3025	37856
74	3060	37747
75	3093	37608
76	3129	37518
77	3165	37412
78	3200	37307
79	3233	37180
80	3265	37054
81	3301	36961
82	3337	36868
83	3385	36915
84	3417	36793
85	3449	36664
86	3482	36542
87	3520	36480
88	3557	36413
89	3591	36318
90	3625	36211
91	3657	36093
92	3695	36038
93	3725	35905
94	3756	35789
95	3789	35683
96	3822	35586
97	3854	35478
98	3885	35363
99	3920	35284
100	3952	35180
101	3983	35068
102	4012	34946
103	4046	34861
104	4077	34755
105	4111	34673
106	4143	34581
107	4177	34499
108	4204	34367
109	4235	34271
110	4264	34156
111	4295	34057
112	4329	33987
113	4361	33897
114	4394	33821
115	4430	33764
116	4462	33680
117	4495	33601
118	4528	33523
119	4561	33447
120	4597	33397
121	4630	33327
122	4664	33260
123	4696	33181
124	4731	33120
125	4764	33046
126	4793	32951
127	4824	32867
128	4855	32781
129	4886	32698
130	4919	32632
131	4949	32549
132	4977	32448
133	5010	32383
134	5044	32323
135	5078	32262
136	5110	32194
137	5144	32134
138	5178	32079
139	5211	32010
140	5243	31945
141	5276	31882
142	5309	31817
143	5340	31743
144	5371	31674
145	5405	31620
146	5437	31552
147	5469	31485
148	5501	31421
149	5535	31369
150	5568	31307
151	5601	31248
152	5632	31183
153	5665	31123
154	5699	31070
155	5732	31012
156	5763	30946
157	5798	30899
158	5828	30827
159	5860	30765
160	5891	30700
161	5922	30636
162	5955	30582
163	5986	30516
164	6018	30455
165	6050	30396
166	6084	30348
167	6117	30294
168	6150	30242
169	6183	30192
170	6215	30132
171	6242	30053
172	6276	30004
173	6310	29958
174	6346	29918
175	6377	29860
176	6408	29798
177	6441	29748
178	6474	29695
179	6507	29646
180	6540	29594
181	6571	29537
182	6608	29501
183	6640	29450
184	6672	29397
185	6706	29352
186	6740	29306
187	6772	29251
188	6804	29197
189	6836	29146
190	6868	29092
191	6897	29027
192	6927	28968
193	6955	28897
194	6987	28847
195	7022	28807
196	7055	28759
197	7088	28712
198	7121	28665
199	7155	28622
200	7189	28579
201	7222	28531
202	7255	28484
203	7288	28441
204	7322	28395
205	7354	28348
206	7389	28306
207	7419	28249
208	7446	28183
209	7477	28130
210	7511	28087
211	7546	28050
212	7579	28004
213	7614	27966
214	7648	27924
215	7680	27876
216	7713	27833
217	7746	27787
218	7781	27748
219	7814	27704
220	7846	27658
221	7880	27615
222	7912	27569
223	7940	27508
224	7972	27460
225	8005	27416
226	8038	27373
227	8071	27330
228	8103	27282
229	8136	27239
230	8169	27196
231	8202	27152
232	8234	27108
233	8266	27058
234	8297	27009
235	8328	26961
236	8362	26922
237	8396	26883
238	8431	26846
239	8467	26814
240	8497	26762
241	8535	26736
242	8570	26699
243	8605	26663
244	8639	26622
245	8673	26585
246	8708	26549
247	8743	26513
248	8777	26474
249	8810	26431
250	8842	26385
251	8874	26342
252	8907	26300
253	8937	26249
254	8968	26201
255	9002	26162
256	9038	26130
257	9070	26087
258	9104	26047
259	9137	26007
260	9171	25969
261	9207	25934
262	9238	25888
263	9270	25844
264	9301	25798
265	9334	25758
266	9367	25716
267	9400	25675
268	9433	25636
269	9467	25597
270	9497	25549
271	9527	25500
272	9560	25459
273	9592	25417
274	9625	25376
275	9656	25331
276	9689	25290
277	9725	25258
278	9760	25224
279	9792	25179
280	9829	25151
281	9862	25110
282	9896	25073
283	9927	25027
284	9962	24993
285	9999	24963
286	10031	24920
287	10061	24873
288	10089	24822
289	10113	24760
290	10140	24705
291	10165	24648
292	10192	24594
293	10216	24534
294	10249	24493
295	10278	24446
296	10304	24390
297	10331	24338
298	10354	24276
299	10384	24230
300	10412	24180
301	10435	24119
302	10462	24066
303	10489	24015
304	10519	23970
305	10543	23913
306	10571	23862
307	10597	23809
308	10619	23747
309	10646	23697
310	10674	23649
311	10701	23597
312	10727	23545
313	10757	23502
314	10796	23477
315	10834	23452
316	10870	23421
317	10904	23387
318	10931	23336
319	10956	23281
320	10983	23232
321	11011	23186
322	11051	23163
323	11089	23137
324	11125	23107
325	11162	23077
326	11190	23031
327	11222	22993
328	11248	22940
329	11277	22897
330	11313	22866
331	11350	22836
332	11388	22810
333	11421	22775
334	11447	22724
335	11484	22696
336	11518	22660
337	11558	22639
338	11597	22613
339	11635	22586
340	11673	22558
341	11704	22518
342	11738	22485
343	11772	22448
344	11801	22406
345	11834	22369
346	11876	22349
347	11911	22317
348	11947	22285
349	11987	22263
350	12025	22235
351	12058	22199
352	12091	22161
353	12122	22122
